pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:DangGuiSiNiTang,当归四逆汤证,lj:Shaoyin_Instance,,2,zz:ShenTongRuChe(9.6184); 【11.26】(9.6184)
fj:TaoHuaTang,桃花汤证,lj:Shaoyin_Instance,,2,zz:XiaLiBianNongXue(9.6184); 【11.27】(9.6184)
fj:ZhuFuTang,猪肤汤证,lj:Shaoyin_Instance,,5,【11.31】(9.6184); zz:YanTong(7.6184); zz:XinFan(7.0334); zz:XiongMan(6.0334); zz:XiaLi(5.7115)
fj:JieGengTang,桔梗汤证,lj:Shaoyin_Instance,,2,【11.32】(9.6184); zz:YanZhongTong(8.6184)
pattern_id,pattern_name,liujing,clause,4,symptom_list(7.0334); pulse_list(7.0334); tongue_list(7.0334); jianjia_list(7.0334)
fj:KuJiuTang,苦酒汤证,lj:Shaoyin_Instance,【11.33】,5,zz:YanZhongShang(9.6184); zz:ShengChuang(9.6184); zz:TongYinHouPang(9.6184); zz:ShiYin(9.6184); zz:ShengBuChu(9.6184)
fj:BanXiaSanJiTang,半夏散及汤证,lj:Shaoyin_Instance,【11.34】,1,zz:YanZhongTong(8.6184)
fj:BaiTongTang,白通汤证,lj:Shaoyin_Instance,【11.35】,1,zz:XiaLi(5.7115)
fj:BaiTongJiaZhuDanZhiTang,白通加猪胆汁汤证,lj:Shaoyin_Instance,【11.36】,4,zz:LiBuZhi(9.6184); zz:JueNiWuMai(9.6184); zz:GanOuFan(9.6184); zz:XiaLi(5.7115)
fj:ZhenWuTang,真武汤证,lj:Shaoyin_Instance,【11.37】,4,zz:SiZhiChenZhong(9.6184); zz:ZiXiaLi(9.6184); zz:FuTong(5.2965); zz:XiaoBianBuLi(5.0948)
fj:TongMaiSiNiTang,通脉四逆汤证（少阴）,lj:Shaoyin_Instance,【11.38】,6,zz:XiaLiQingGu(9.6184); zz:LiHanWaiRe(9.6184); zz:MaiWeiYuJue(9.6184); zz:ShenFanBuEHAN(9.6184); zz:ShouZuJueNi(8.6184); zz:MianChi(8.6184)
fj:SiNiSan,四逆散证,lj:Shaoyin_Instance,【11.39】,6,zz:Ji(9.6184); zz:XieLiXiaZhong(9.6184); zz:SiZhiJueNi(8.6184); zz:Ke(5.811); zz:FuTong(5.2965); zz:XiaoBianBuLi(5.0948)
fj:ZhuLingTang,猪苓汤证（少阴）,lj:Shaoyin_Instance,【11.40】,5,zz:XinFanBuDeMian(9.6184); zz:Ou(8.0334); zz:Ke(5.811); zz:Ke(5.811); zz:XiaLi(5.7115)
fj:DaChengQiTang_JiXia,大承气汤证（少阴急下）,lj:Shaoyin_Instance,【11.41】,1,zz:KouZaoYanGan(9.6184)
fj:DaChengQiTang_ZiLiQingShui,大承气汤证（少阴自利清水）,lj:Shaoyin_Instance,【11.42】,3,zz:ZiLiQingShui(9.6184); zz:XinXiaBiTong(9.6184); zz:KouGanZao(9.6184)
fj:DaChengQiTang_ZhangMan,大承气汤证（少阴腹胀）,lj:Shaoyin_Instance,【11.43】,1,zz:FuZhang(8.0334)
fj:SiNiTang_JiWen,四逆汤证（少阴脉沉）,lj:Shaoyin_Instance,【11.44】,1,zz:MaiChen(8.0334)
